CONTRACT_PK,USER_CODE,GIS_CD,CT_PY_AMT,CT_PY_PD,CT_CHNL_CD,INSU_DAY,INSU_YEAR,MGG_GRP
145,1200529,21,30,10,6,3652,10,A95
146,1033807,31,79,10,1,3652,10,A95
147,295040,22,47,10,6,3653,11,A95
148,295040,11,61,10,2,18628,52,A95
149,1830514,22,13,5,5,3653,11,A95
150,1542038,38,15,15,6,5478,15,A95
151,730768,11,22,10,6,3653,11,A95
152,730768,11,62,5,6,1826,5,A95
153,730768,11,21,10,6,3653,11,A95
154,1062917,32,29,10,1,3652,10,A95
155,1394262,11,36,15,1,5478,15,A95
156,1382221,22,32,10,6,3653,11,A95
157,1451349,36,64,10,1,3653,11,A95
158,1195168,36,10,5,1,3653,11,A95
159,1889463,38,29,10,6,18993,53,A95
160,1548320,37,22,10,6,3653,11,A95
161,1466624,38,38,10,6,3652,10,A95
162,1258914,23,34,5,3,1826,5,A95
163,35068,11,14,5,5,3653,11,A95
164,1391405,35,19,10,6,3653,11,A95
165,1099288,37,29,10,3,3653,11,A95
166,197895,22,49,5,6,1826,5,A95
167,197895,22,49,5,6,1826,5,A95
168,1536551,23,49,10,6,3653,11,A95
169,1536551,23,31,10,6,3653,11,A95
170,132677,37,28,10,6,3653,11,A95
171,674912,37,33,5,3,1826,5,A95
172,674912,37,30,5,3,1826,5,A95
173,510845,11,49,10,6,3653,11,A95
174,261057,24,14,5,5,3652,10,A95
175,1806092,31,24,10,6,3653,11,A95
176,1629782,31,57,5,6,1826,5,A95
177,1629782,31,57,5,6,1826,5,A95
178,1629782,31,73,20,3,8401,24,A95
179,1635632,34,15,5,4,1826,5,A95
180,1635632,34,15,5,4,1827,6,A95
181,374094,23,46,10,3,3653,11,A95
182,1639046,31,32,5,6,1827,6,A95
183,1639046,31,27,5,6,1826,5,A95
184,1811515,31,21,5,6,1826,5,A95
185,1811515,31,21,5,6,1826,5,A95
186,609625,26,31,5,3,1826,5,A95
187,1723678,11,51,5,6,1826,5,A95
188,1924729,32,20,21,1,7670,21,A95
189,811745,31,17,5,4,1826,5,A95
190,825172,38,40,10,6,3652,10,A95
191,1606681,11,84,15,1,5479,16,A95
192,1118610,34,45,5,6,1826,5,A95
193,1339684,11,26,20,1,7305,21,A95
194,1170058,23,62,10,3,3653,11,A95
195,655792,22,30,10,1,3653,11,A95
196,699014,36,31,10,6,3653,11,A95
197,936249,38,31,10,6,3653,11,A95
198,936249,38,50,10,6,3652,10,A95
199,448419,31,22,10,4,3653,11,A95
200,484483,38,34,10,6,3652,10,A95
201,1536105,35,27,10,6,3653,11,A95
202,785639,32,21,10,4,3653,11,A95
203,1811959,22,92,10,1,3652,10,A95
204,1734497,37,55,5,6,1826,5,A95
205,1734497,37,55,5,6,1826,5,A95
206,1195544,31,43,5,6,1826,5,A95
207,1195544,31,43,5,6,1826,5,A95
208,1229886,31,8,20,1,23011,64,A95
209,1229886,31,24,20,1,22281,62,A95
210,445616,11,28,10,6,3653,11,A95
211,1693355,11,41,48,1,17532,49,A95
